ID_UNI;REGIONE;EDIZIONE;TIPO_ORG;Ambito
157-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione;INTEG_SO, TEATRO
158-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;COWORKIN, SOCIOLOG
159-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;COWORKIN, SOCIOLOG
160-cheFare 1 (2012);Basilicata;cheFare 1 (2012);S.r.l.;CINEMA, FESTIVAL, TURISMO
161-cheFare 1 (2012);Trentino Alto Adige;cheFare 1 (2012);Associazione culturale;LETTERAT, PERF_ART, SOCIOLOG
162-cheFare 1 (2012);Abruzzo e Molise;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;TURISMO
163-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Altro tipo di organizzazione;EDITORIA, FESTIVAL, LETTERAT
164-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione culturale;FILOSOFI, PSICOLOG, SOCIOLOG
165-cheFare 1 (2012);Lazio;cheFare 1 (2012);Società cooperativa;MUSICA, PERF_ART
166-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;ARCHEOLO, SOCIOLOG, TEATRO
167-cheFare 1 (2012);Sardegna;cheFare 1 (2012);S.a.s.;ARCHEOLO, WEB
168-cheFare 1 (2012);Puglia;cheFare 1 (2012);S.r.l.;COMMERCI, VIDEO, WEB
169-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione culturale;ARTIPLAS, COWORKIN, MUSICA
170-cheFare 1 (2012);Veneto;cheFare 1 (2012);Altro tipo di organizzazione;COWORKIN, FORMAZIO
171-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.n.c.;EDITORIA, SOCIALNE, WEB
172-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;FOTOGRAF, VIDEO, TURISMO
173-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ARTIPLAS, WEB
174-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;EDITORIA, LETTERAT, PEDAGOGI
175-cheFare 1 (2012);Umbria;cheFare 1 (2012);S.a.s.;ARTIPLAS, WEB
176-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Altro tipo di organizzazione;COWORKIN, EDITORIA
177-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione;CINEMA, SOCIOLOG, VIDEO
178-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;APP_SOFT, DESIGN, EDITORIA
179-cheFare 1 (2012);Toscana;cheFare 1 (2012);S.r.l.;FOTOGRAF, VIDEO, WEB
180-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Associazione;ENOGASTR, TEATRO, TURISMO
181-cheFare 1 (2012);Sicilia;cheFare 1 (2012);S.r.l.;MUSICA, PEDAGOGI
182-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);S.r.l.;ARTIPLAS, WEB
183-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;EDITORIA, SOCIOLOG, VIDEO
184-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;FORMAZIO, MUSICA, PEDAGOGI
185-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione;FILOSOFI, FOTOGRAF, TEATRO
186-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;FORMAZIO, INTEG_SO, WEB
187-cheFare 1 (2012);Puglia;cheFare 1 (2012);Altro tipo di organizzazione;MODA, SOCIOLOG
188-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;ARTIPLAS, LETTERAT, PERF_ART
189-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;RIV_CART, RIV_ONLI
190-cheFare 1 (2012);Toscana;cheFare 1 (2012);S.r.l.;COMMERCI, WEB
191-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;CINEMA, SOCIALNE
192-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione culturale;FOTOGRAF, VIDEO
193-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione culturale;APP_SOFT, ARTIPLAS, SOCIALNE
194-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Associazione;AGRICOLT, COMMERCI, COWORKIN
195-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Associazione culturale;TEATRO
196-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;INTEG_SO, PSICOLOG, TEATRO
197-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione culturale;INTEG_SO, TEATRO
198-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);S.r.l.;PERF_ART, SOCIOLOG
199-cheFare 1 (2012);Lazio;cheFare 1 (2012);società cooperativa a r.l.;ARCHEOLO, FORMAZIO
200-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;ANTROPOL, ARCHEOLO
201-cheFare 1 (2012);Calabria;cheFare 1 (2012);Associazione culturale;ARCHITET, RIV_ONLI
202-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;COMMERCI, SOCIALNE, SOCIOLOG
203-cheFare 1 (2012);Campania;cheFare 1 (2012);S.r.l.;COMMERCI, EDITORIA
204-cheFare 1 (2012);Puglia;cheFare 1 (2012);S.a.s.;TURISMO
205-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione culturale;FESTIVAL, FORMAZIO, TEATRO
206-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Altro tipo di organizzazione;SOCIALNE
207-cheFare 1 (2012);Liguria;cheFare 1 (2012);Associazione culturale;APP_SOFT, EDITORIA, SOCIALNE
208-cheFare 1 (2012);Puglia;cheFare 1 (2012);S.r.l.;INTEG_SO, VIDEO, WEB
209-cheFare 1 (2012);Puglia;cheFare 1 (2012);S.n.c.;AGRICOLT, ANTROPOL, ENOGASTR
210-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;SOCIOLOG, VIDEO, WEB
211-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Società cooperativa;FOTOGRAF, VIDEO, WEB
212-cheFare 1 (2012);Veneto;cheFare 1 (2012);Associazione culturale;FUNDRAIS
213-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione;ENOGASTR, FESTIVAL, TEATRO
214-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Consorzio;COWORKIN
215-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;TEATRO, WEB
216-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;AGRICOLT, FORMAZIO, TURISMO
217-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;COWORKIN, PERF_ART, WEB
218-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Società cooperativa;ANTROPOL, MODA
219-cheFare 1 (2012);Abruzzo e Molise;cheFare 1 (2012);Associazione culturale;TEATRO
220-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione;ARTIPLAS, COMMERCI, WEB
221-cheFare 1 (2012);Friuli Venezia Giulia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ARTIPLAS, PERF_ART, WEB
222-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;FESTIVAL, MUSICA, PERF_ART
223-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione culturale;PERF_ART, SOCIOLOG, TEATRO
224-cheFare 1 (2012);Veneto;cheFare 1 (2012);Associazione;SOCIALNE, WEB
225-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Altro tipo di organizzazione;ENOGASTR, TEATRO, TURISMO
226-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;DANZA, VIDEO, WEB
227-cheFare 1 (2012);Abruzzo e Molise;cheFare 1 (2012);Associazione;CINEMA, SOCIOLOG
228-cheFare 1 (2012);Calabria;cheFare 1 (2012);Altro tipo di organizzazione;INTEG_SO, LETTERAT
229-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Altro tipo di organizzazione;FORMAZIO, SOCIALNE, VIDEO
230-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione culturale;APP_SOFT, COMMERCI, SOCIALNE
231-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione culturale;FESTIVAL, FILOSOFI, VIDEO
232-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;ARCHITET, DESIGN, WEB
233-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;WEB
234-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;COWORKIN
235-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);S.s.r.l.;ANTROPOL, SOCIOLOG, WEB
236-cheFare 1 (2012);Lazio;cheFare 1 (2012);Società cooperativa;ANTROPOL, SOCIOLOG, WEB
237-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ARTIPLAS, EDITORIA, MUSICA
238-cheFare 1 (2012);Umbria;cheFare 1 (2012);Altro tipo di organizzazione;ARTIPLAS, INTEG_SO, SOCIALNE
239-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Altro tipo di organizzazione;PEDAGOGI, PITTURA, SPORT
240-cheFare 1 (2012);Friuli Venezia Giulia;cheFare 1 (2012);Associazione culturale;FORMAZIO, RIV_ONLI, WEB
