ID;ID_PROG;PROV;TEAM;EDIZIONE;Ambito;AGIURID
51-5;51;Non rilevabile; ;iC3;; 
52-1;52;Altra provincia italiana;4;iC3;ARTI_VIS, PATRIMON, PRODUZ, PROMOZ; 
52-2;52;Non rilevabile; ;iC3;; 
52-3;52;Non rilevabile; ;iC3;; 
52-4;52;Non rilevabile; ;iC3;; 
52-5;52;Non rilevabile; ;iC3;; 
53-1;53;Milano;3;iC3;ARTI_VIS, ARTIGIAN, EDUCAZ, FRUIZ; 
53-2;53;Non rilevabile; ;iC3;; 
53-3;53;Non rilevabile; ;iC3;; 
53-4;53;Non rilevabile; ;iC3;; 
54-1;54;Milano;4;iC3;ARTI_VIS, PATRIMON, PARTECIP, RIC_FORM; 
54-2;54;Non rilevabile; ;iC3;; 
54-3;54;Non rilevabile; ;iC3;; 
54-4;54;Non rilevabile; ;iC3;; 
54-5;54;Non rilevabile; ;iC3;; 
55-1;55;Altra provincia italiana;1;iC3;PATRIMON, SPETTAC, FRUIZ, PROMOZ; 
55-2;55;Non rilevabile; ;iC3;; 
56-1;56;Altra provincia italiana;4;iC3;AUDIOVIS, AM_ALTRO, EDUCAZ, PARTECIP; 
56-2;56;Non rilevabile; ;iC3;; 
56-3;56;Non rilevabile; ;iC3;; 
56-4;56;Non rilevabile; ;iC3;; 
56-5;56;Non rilevabile; ;iC3;; 
57-1;57;Altra provincia italiana;3;iC3;PATRIMON, PARTECIP, PROMOZ; 
57-2;57;Non rilevabile; ;iC3;; 
57-3;57;Non rilevabile; ;iC3;; 
57-4;57;Non rilevabile; ;iC3;; 
58-1;58;Altra provincia italiana;1;iC3;ARTI_VIS, SPETTAC, FRUIZ, PARTECIP; 
58-2;58;Non rilevabile; ;iC3;; 
59-1;59;Milano;1;iC3;EDITORIA, PATRIMON, FRUIZ, PROMOZ; 
59-2;59;Non rilevabile; ;iC3;; 
60-1;60;Pavia;3;iC3;ARTI_VIS, DESIGN, DIST_COM, PARTECIP; 
60-2;60;Non rilevabile; ;iC3;; 
60-3;60;Non rilevabile; ;iC3;; 
60-4;60;Non rilevabile; ;iC3;; 
61-1;61;Milano;1;iC3;AUDIOVIS, EDITORIA, EDUCAZ, PROMOZ; 
61-2;61;Non rilevabile; ;iC3;; 
62-1;62;Como;3;iC3;AUDIOVIS, SPETTAC, FRUIZ, PRODUZ; 
62-2;62;Non rilevabile; ;iC3;; 
62-3;62;Non rilevabile; ;iC3;; 
62-4;62;Non rilevabile; ;iC3;; 
63-1;63;Altra provincia italiana;5;iC3;ARTIGIAN, PATRIMON, DIST_COM, FRUIZ; 
63-2;63;Non rilevabile; ;iC3;; 
63-3;63;Non rilevabile; ;iC3;; 
63-4;63;Non rilevabile; ;iC3;; 
63-5;63;Non rilevabile; ;iC3;; 
63-6;63;Non rilevabile; ;iC3;; 
64-1;64;Milano;1;iC3;ARTI_VIS, DIST_COM, FUNDRAIS; 
64-2;64;Non rilevabile; ;iC3;; 
65-1;65;Altra provincia italiana;1;iC3;EDITORIA, SPETTAC, EDUCAZ, PROMOZ; 
65-2;65;Non rilevabile; ;iC3;; 
66-1;66;Altra provincia italiana;3;iC3;PATRIMON, FRUIZ, PRODUZ; 
66-2;66;Non rilevabile; ;iC3;; 
66-3;66;Non rilevabile; ;iC3;; 
66-4;66;Non rilevabile; ;iC3;; 
67-1;67;Altra provincia italiana;4;iC3;DESIGN, EDITORIA, PRODUZ, PROMOZ; 
67-2;67;Non rilevabile; ;iC3;; 
67-3;67;Non rilevabile; ;iC3;; 
67-4;67;Non rilevabile; ;iC3;; 
67-5;67;Non rilevabile; ;iC3;; 
68-1;68;Milano;2;iC3;ARTI_VIS, ARTIGIAN, PROMOZ, RIC_FORM; 
68-2;68;Non rilevabile; ;iC3;; 
68-3;68;Non rilevabile; ;iC3;; 
69-1;69;Altra provincia italiana;5;iC3;EDITORIA, SPETTAC, PRODUZ, RIC_FORM; 
69-2;69;Non rilevabile; ;iC3;; 
69-3;69;Non rilevabile; ;iC3;; 
69-4;69;Non rilevabile; ;iC3;; 
69-5;69;Non rilevabile; ;iC3;; 
69-6;69;Non rilevabile; ;iC3;; 
70-1;70;Altra provincia italiana;4;iC3;AUDIOVIS, AM_ALTRO, PRODUZ, RIC_FORM; 
70-2;70;Non rilevabile; ;iC3;; 
70-3;70;Non rilevabile; ;iC3;; 
70-4;70;Non rilevabile; ;iC3;; 
70-5;70;Non rilevabile; ;iC3;; 
71-1;71;Brescia;3;iC3;ARTIGIAN, DESIGN, CONSERV, RIC_FORM; 
71-2;71;Non rilevabile; ;iC3;; 
71-3;71;Non rilevabile; ;iC3;; 
71-4;71;Non rilevabile; ;iC3;; 
72-1;72;Altra provincia lombarda;3;iC3;ARTI_VIS, PATRIMON, FRUIZ; 
72-2;72;Non rilevabile; ;iC3;; 
72-3;72;Non rilevabile; ;iC3;; 
72-4;72;Non rilevabile; ;iC3;; 
73-1;73;Altra provincia italiana;2;iC3;AUDIOVIS, EDITORIA, FRUIZ, PARTECIP; 
73-2;73;Non rilevabile; ;iC3;; 
73-3;73;Non rilevabile; ;iC3;; 
74-1;74;Mantova;2;iC3;AM_ALTRO, FRUIZ, RIC_FORM; 
74-2;74;Non rilevabile; ;iC3;; 
74-3;74;Non rilevabile; ;iC3;; 
75-1;75;Altra provincia italiana;2;iC3;ARTI_VIS, SPETTAC, PARTECIP, PRODUZ; 
75-2;75;Non rilevabile; ;iC3;; 
75-3;75;Non rilevabile; ;iC3;; 
76-1;76;Altra provincia italiana;4;iC3;ARTI_VIS, AUDIOVIS, FUNDRAIS, PRODUZ; 
76-2;76;Non rilevabile; ;iC3;; 
76-3;76;Non rilevabile; ;iC3;; 
76-4;76;Non rilevabile; ;iC3;; 
76-5;76;Non rilevabile; ;iC3;; 
