EDIZIONE,ID.PROG,ID.TEAM,PROV,ETA.CL,SESSO,TITSTUD,LAUREA,PROF,SETPROF,MODPART,TEAM,AGIURID,T.PROG,AMBITO1,AMBITO2,ARCHITET,ARCH.BIB,ARTI.VIS,ARTIGIAN,AUDIOVIS,DESIGN,EDITORIA,PATRIMON,SPETTAC,AM.ALTRO,REPLICA,REP.DOVE,REP.SETT,REP.SE.Q,AVANZAM,AVANZ.D,IMPATTO1,IMPATTO2,ACCESSO,CONSERV,DIST.COM,EDUCAZ,FRUIZ,FUNDRAIS,PARTECIP,PRODUZ,PROMOZ,RIC.FORM,INF.PROG1,INF.PROG2,CARENZA1,CARENZA2,CARENZA3,ARTISTI,TURISTI,STUDENTI,FAMIGLIE,SCUO.UNI,APPASS,OPERAT,PROF.CRE,IST.CULT,PA,IMPRESE,TAR.ALTR,FILTR.PR,filter_$
iC1,13,Proponente,Brescia,30-34 anni,Maschio,Diploma o titolo di studio inferiore,Non applicabile,Altre professioni tecniche,Altre attività,In rappresentanza di un team informale,2,Non rilevabile,Digitale,"Spettacolo dal vivo (teatro, danza, musica live)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Non rilevabile,Altro ambito,"Patrimonio (beni culturali, archeologia, paesaggio)",Sperimentazione,Italia,Accesso,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Marketing,Competenze,Risorse economiche, , , , , , , , , , , , ,Selezionato,Selected
iC1,13,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Ingegneri e professioni assimilate,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,13,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,14,Proponente,Monza e della Brianza,60 anni e oltre,Maschio,Non rilevabile,Non rilevabile,"Legislatori, imprenditori e alta dirigenza","Edizione di libri, periodici ed altre attività editoriali",A titolo personale,Non applicabile,Non rilevabile,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Accesso,Fruizione, , , , , , , , , , ,Cultura,Non applicabile,Networking,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,15,Proponente,Varese,40-44 anni,Maschio,Non rilevabile,Non rilevabile,"Altre professioni tecniche in campo scientifico, ingegneristico e della produzione",Non rilevabile,A titolo personale,Non applicabile,Non rilevabile,Digitale,"Editoria (letteratura, scrittura)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Diffusione & sviluppo,Italia,Accesso,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Risorse economiche,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,16,Proponente,Pavia,25-29 anni,Femmina,Laurea,"Scienze storiche, filosofiche, pedagogiche e psicologiche",Specialisti in scienze sociali,Sanità e assistenza sociale,In rappresentanza di un team informale,3,Non rilevabile,Spazio,Altro,Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Progettazione,Italia,Fruizione,Educazione, , , , , , , , , , ,Welfare/sociale,Ambiente,Spazio,Risorse economiche,Competenze, , , , , , , , , , , , ,Selezionato,Selected
iC1,16,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in scienze sociali,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,16,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Altre professioni intellettuali, scientifiche e di elevata specializzazione",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,16,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Altre professioni intellettuali, scientifiche e di elevata specializzazione",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,17,Proponente,Brescia,30-34 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Altri specialisti dell'educazione e della formazione,Altri servizi di istruzione,A titolo personale,Non applicabile,No Profit,Spazio,Altro,Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Educazione,Accesso, , , , , , , , , , ,Welfare/sociale,Cultura,Competenze,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
